miRNA	GSM1439481	GSM1439482	GSM1439483	GSM1439484	GSM1439485	GSM1439486	GSM1439487	GSM1439488	GSM1439489	GSM1439490	GSM1439491	GSM1439492	GSM1439493	GSM1439494	GSM1439495	GSM1439496	GSM1439497	GSM1439498	GSM1439499	GSM1439500	GSM1439501	GSM1439502	GSM1439503	GSM1439504
hsa-mir-103a-1-3p	3990.32	3423.42	3219.88	3519.45	4749.89	3439.47	9798.39	6670.69	2856	3686.45	3476.41	2967.52	2759.81	4652.51	18417.33	6100.39	11466.87	4239.64	11860.92	3146.67	5088.63	2918.38	2796.38	2060.61
hsa-mir-103a-2-3p	3994.83	3419.54	3223.9	3522.2	4749.89	3439.47	9798.39	6670.69	2856	3686.45	3476.41	2967.52	2759.81	4656.56	18417.33	6100.39	11466.87	4239.64	11860.92	3156.86	5107.23	2918.38	2796.38	2060.61
hsa-mir-103a-2-5p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-103b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-103b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-106a-3p	0	3.87	0	0	0	0	1.51	0	24.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-106a-5p	13.52	1.94	2.01	1.37	0	0	0	0	0	3.53	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-106b-3p	509.4	422.28	458.83	442.34	904.74	383.35	217.99	397.94	323.01	409.08	172.1	140.99	167	348.58	64.36	275.88	187.57	168.99	217	186.02	195.3	365.25	708.94	368.81
hsa-mir-106b-5p	383.18	251.82	191.18	255.51	556.76	239.59	68.12	98.66	91.1	232.75	240.94	90.64	58.94	149.97	11.41	105.34	112.54	26.68	39.67	45.87	65.1	118.17	0	113.48
hsa-mir-107	3713.08	2791.94	2893.87	3321.64	4523.71	3151.96	9748.43	6552.29	2802.16	3517.17	3430.51	2635.19	2587.9	4423.5	18341.56	5932.35	11429.36	4132.91	11668.41	2722.38	4702.68	2531.65	2678.22	1705.98
hsa-mir-10a-3p	0	0	16.1	0	17.4	0	42.39	59.2	8.28	3.53	0	0	0	4.05	12.22	10.03	0	0	4.67	2.55	0	0	0	0
hsa-mir-10a-5p	3069.94	3506.07	13865.61	3794.19	2366.25	4616.12	45247.02	21880.08	7217.99	4224.84	3705.87	10010.35	3159.84	3885.08	6430.79	16643.35	937.86	4651.74	2895.71	12430.37	4575.58	6509.96	3544.7	6888.24
hsa-mir-10b-3p	0	0	18.11	0	0	15.97	6.06	3.29	0	0	0	0	0	0	3.26	15.05	0	0	0	0	0	0	0	5.67
hsa-mir-10b-5p	7492.28	6431.02	33080.24	6242.15	5237.06	12538.61	14731.64	12046.71	8924.13	8678.91	10601.31	21632.02	6997.49	9490.79	8977.68	21122.71	2025.77	10388.59	3283.05	9665.52	10006.77	16425.28	3781.02	17680.2
hsa-mir-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1179	0	0	0	0	0	0	0	0	0	0	0	0	3.27	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-1180-3p	0	0	12.07	5.49	0	0	10.6	16.44	0	3.53	0	0	13.1	4.05	14.67	5.02	37.51	0	23.33	20.39	0	0	0	11.35
hsa-mir-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-1-3p	0	11.62	0	1.37	0	0	0.76	0	0	0	0	0	0	0	0.81	0	0	0	2.33	0	0	0	0	5.67
hsa-mir-1185-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-2-3p	0	0	0	1.37	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1197	0	15.5	0	10.99	0	0	0	0	0	0	0	0	0	0	0	5.02	0	0	0	2.55	0	0	0	0
hsa-mir-1199-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1207-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1207-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-122-3p	0	0	8.05	0	0	0	6.06	3.29	0	0	0	0	6.55	4.05	0.81	10.03	0	0	9.33	7.64	9.3	10.74	0	5.67
hsa-mir-122-5p	22.54	23.24	6.04	5.49	0	0	990.03	207.19	16.56	3.53	0	10.07	356.91	226.98	1150.42	446.43	900.34	275.72	3217.72	1755.75	706.8	451.19	236.31	96.46
hsa-mir-1224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1224-5p	4.51	0	0	2.75	0	0	0	0	0	0	0	0	6.55	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-1225-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1226-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1226-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.64	0	0	0	0
hsa-mir-1227-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1228-3p	0	0	8.05	0	0	0	0	0	0	0	0	10.07	9.82	0	0	10.03	0	0	2.33	0	18.6	0	236.31	0
hsa-mir-1228-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	4.67	2.55	0	0	0	0
hsa-mir-1229-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1229-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-1-3p	0	0	0	0	0	0	0	0	4.14	3.53	0	0	0	0	0	0	0	0	0	0	0	5.37	0	0
hsa-mir-1233-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-2-3p	0	0	0	0	0	0	0	0	4.14	3.53	0	0	0	0	0	0	0	0	0	0	0	5.37	0	0
hsa-mir-1233-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1234-3p	0	3.87	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0
hsa-mir-1236-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1236-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1237-3p	0	11.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.35
hsa-mir-1237-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1238-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1238-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-1-3p	0	0	0	0	0	0	0.5	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-2-3p	0	0	0	0	0	0	0.5	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-3-3p	0	0	0	0	0	0	0.5	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1245b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1245b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1246	0	0	1.51	0	0	0	7.95	7.4	2.07	0	0	0	1.64	0	29.53	6.27	0	0	22.17	2.55	0	0	0	1.42
hsa-mir-1247-3p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	4.89	0	0	0	7	2.55	0	0	0	0
hsa-mir-1247-5p	0	0	0	0	0	0	21.19	0	0	7.05	0	10.07	26.2	8.11	27.7	5.02	0	8.89	4.67	2.55	27.9	0	0	0
hsa-mir-1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1249	0	3.87	0	5.49	0	15.97	0	0	0	7.05	0	30.21	0	0	0	0	0	0	0	5.1	0	0	0	0
hsa-mir-1250-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1250-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1251-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1251-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1252-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1254-1	0	0	2.01	0	0	0	0.76	3.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1254-2	0	0	2.01	0	0	0	0.76	3.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1255a	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	2.55	9.3	0	0	0
hsa-mir-1255b-1-5p	0	1.94	0	0	0	0	0	0	4.14	1.76	0	0	3.27	2.03	0	2.51	0	8.89	0	1.27	0	0	0	0
hsa-mir-1255b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1255b-2-5p	0	1.94	0	0	0	0	0	0	4.14	1.76	0	0	3.27	2.03	0	2.51	0	8.89	0	1.27	0	0	0	0
hsa-mir-1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1258	0	0	0	0	0	0	0	0	0	0	0	0	3.27	0	4.07	0	0	0	2.33	2.55	9.3	10.74	0	0
hsa-mir-125a-3p	0	0	0	2.75	0	0	1.51	3.29	8.28	0	0	10.07	0	0	1.63	5.02	0	0	0	20.39	0	0	0	11.35
hsa-mir-125a-5p	302.04	205.33	285.76	197.81	139.19	127.78	195.28	92.09	231.9	271.55	103.26	2960.81	340.54	231.04	138.51	581.87	0	355.77	191.34	1279.22	492.9	655.29	945.25	697.9
hsa-mir-125b-1-3p	4.51	0	8.05	2.75	0	0	33.3	23.02	24.85	3.53	0	60.42	16.37	8.11	64.36	10.03	0	8.89	147	22.93	65.1	0	0	22.7
hsa-mir-125b-1-5p	27.05	11.62	30.19	13.74	17.4	0	135.49	55.91	4.14	49.37	5.74	362.55	214.48	24.32	123.43	22.57	112.54	164.55	197.17	115.95	148.8	64.46	118.16	25.53
hsa-mir-125b-2-3p	18.03	30.99	36.22	21.98	52.2	31.95	719.06	315.72	57.98	7.05	0	80.57	153.9	186.45	809.86	125.4	525.2	177.89	1197.02	203.86	604.5	150.4	236.31	62.41
hsa-mir-125b-2-5p	27.05	11.62	30.19	13.74	17.4	0	135.49	55.91	4.14	38.79	5.74	352.48	214.48	24.32	123.43	22.57	112.54	164.55	197.17	115.95	148.8	53.71	118.16	25.53
hsa-mir-126-3p	739.31	1309.45	1141.04	582.45	487.17	702.8	208.91	358.47	712.27	592.46	791.66	1691.89	494.44	709.33	340.56	1906.11	150.06	382.46	1278.69	2324.01	1162.5	1493.21	1181.57	1339.07
hsa-mir-126-5p	6166.93	11134.18	9037.8	7005.93	6855.15	5830.05	3625.57	3433.46	6128.87	4605.71	5736.64	10292.33	3765.61	6452.85	3938.48	14466.37	2213.34	2917.34	8031.46	23762.45	8025.87	9657.51	4726.27	6530.78
hsa-mir-1260a	33.81	23.24	19.12	5.49	0	7.99	1.51	6.58	33.13	14.11	5.74	85.6	42.57	24.32	2.04	20.06	0	8.89	5.83	56.06	41.85	37.6	236.31	34.04
hsa-mir-1260b	56.35	108.47	21.13	13.74	17.4	23.96	1.51	13.16	33.13	21.16	5.74	95.67	32.74	20.27	2.04	5.02	0	26.68	12.83	79	51.15	123.54	236.31	56.74
hsa-mir-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1262	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1266-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1268a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1268b	0	0	0	0	0	0	0	0	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1269a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1269b	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-127-3p	144.26	693.47	118.73	200.56	69.6	127.78	254.32	95.37	33.13	24.69	22.95	80.57	229.21	271.57	103.47	366.17	37.51	17.79	296.34	2010.57	148.8	300.79	472.63	561.73
hsa-mir-127-5p	0	3.87	0	0	0	0	4.54	0	0	3.53	0	0	0	0	0	0	0	0	0	2.55	9.3	0	0	11.35
hsa-mir-1270-1	2.25	1.94	0	0	0	0	2.27	1.64	0	5.29	5.74	0	3.27	2.03	0	0	0	0	0	1.27	0	0	0	0
hsa-mir-1270-2	2.25	1.94	0	0	0	0	2.27	1.64	0	5.29	5.74	0	3.27	2.03	0	0	0	0	0	1.27	0	0	0	0
hsa-mir-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1271-5p	0	3.87	0	0	0	0	0	0	0	0	0	0	6.55	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273a	0	0	0	0	0	0	3.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273d	4.51	0	0	0	17.4	0	3.03	6.58	0	0	0	0	9.82	0	0	16.72	0	44.47	0	0	0	0	0	5.67
hsa-mir-1273e	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	1.63	0	0	0	0	0	0	0	0	0
hsa-mir-1273f	0	0	0	2.75	0	0	0	3.29	0	3.53	0	0	0	4.05	0	25.08	0	0	0	0	0	0	0	17.02
hsa-mir-1273g-3p	0	3.87	0	0	0	0	1.51	5.76	0	0	0	2.52	0.82	0	2.24	11.29	37.51	8.89	4.08	0	0	0	0	0
hsa-mir-1273g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273h-3p	13.52	38.74	6.04	16.48	17.4	0	0	36.18	0	14.11	0	30.21	13.1	28.37	2.44	15.05	37.51	0	7	28.03	0	10.74	0	62.41
hsa-mir-1273h-5p	0	3.87	0	0	0	0	1.51	3.29	0	0	0	10.07	0	0	0	0	0	0	2.33	2.55	0	0	0	5.67
hsa-mir-1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-1276	4.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1277-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1277-5p	9.02	7.75	8.05	10.99	0	15.97	0	0	0	0	0	10.07	0	12.16	0	5.02	0	0	2.33	5.1	0	10.74	0	0
hsa-mir-1278	9.02	3.87	0	0	0	0	0	0	0	3.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-1-3p	338.1	714.77	312.93	375.02	608.96	359.39	386.02	366.7	356.14	222.17	212.26	372.62	225.94	514.77	114.88	338.59	937.86	226.81	176.17	150.35	306.9	214.85	827.1	431.22
