miRNA,GSM7886764,GSM7886765,GSM7886766,GSM7886767,GSM7886768,GSM7886769,GSM7886770,GSM7886771,GSM7886772,GSM7886773,GSM7886774,GSM7886775,GSM7886776,GSM7886777,GSM7886778
hsa-miR-10a-5p,0.1,0.1,0.1,1.9649,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-10b-3p,0.1,0.1,0.1,4.76234,6.34556,0.1,17.44288,4.525,7.05157,0.1,0.1,0.1,0.1,0.1,5.76137
hsa-miR-10b-5p,0.1,0.1,0.1,2.40302,0.1,0.1,0.1,2.5053,2.01616,0.1,0.1,2.97437,0.1,0.1,0.1
hsa-miR-1178-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1178-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1179,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1180-3p,0.1,17.8818,0.1,6.13066,9.65533,8.83244,7.13879,6.86591,11.93268,2.71144,10.19777,7.19042,6.42198,0.1,2.06645
hsa-miR-1180-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1181,34.1578,16.09951,6.37786,45.2621,35.9025,51.2945,77.4683,52.1887,66.1415,63.8278,56.6794,42.7423,34.0389,46.5173,47.5904
hsa-miR-1182,3.76177,7.59523,0.1,10.95832,11.57556,19.0599,15.1765,16.34801,31.1048,20.3741,18.9923,11.48825,15.27003,13.70207,17.7249
hsa-miR-1183,6.72611,8.76762,0.1,12.94969,15.27779,47.6387,23.8502,71.2476,108.4451,39.0597,26.9622,20.02551,23.0818,20.84338,26.5233
hsa-miR-1184,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1185-1-3p,21.5277,28.3732,0.1,56.9455,60.9231,93.0912,79.9146,101.3822,251.662,120.2201,59.3453,48.2224,55.9964,37.4312,62.1954
hsa-miR-1185-2-3p,9.63855,11.69688,0.1,26.3476,28.588,46.1759,38.7048,52.2113,146.9434,65.359,27.76495,23.69965,28.8463,18.16063,31.8591
hsa-miR-1185-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1193,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1197,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1199-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1199-5p,0.1,0.1,0.1,0.1,0.1,0.1,2.67236,1.80838,3.70052,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1200,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1202,409.511,295.883,27.1072,968.735,1093.444,1449.34,2054.72,1965.967,3011.46,1891.223,673.342,1181.661,1026.376,747.801,1640.771
hsa-miR-1203,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1205,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1206,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1207-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1207-5p,268.809,296.842,19.30062,613.816,709.374,1309.133,1168.566,1668.972,2102.97,1196.388,645.212,751.687,819.146,551.799,929.589
hsa-miR-1208,0.1,0.1,0.1,0.1,0.1,3.91652,5.54248,4.42405,7.29054,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-122-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-122-5p,0.1,4.10253,0.1,0.1,0.1,12.43723,9.09087,48.8821,2.75729,18.59633,0.1,4.27474,2.03293,5.78222,0.1
hsa-miR-1224-3p,1.82307,0.1,0.784951,1.12402,1.54674,0.1,0.1,0.1,0.1,1.08087,0.90276,0.1,1.38131,0.1,0.992367
hsa-miR-1224-5p,6.93682,13.00497,0.1,18.81572,23.5774,37.2457,37.1636,49.7154,57.4046,32.3684,23.939,22.4323,26.3061,14.9497,30.2782
hsa-miR-1225-5p,168.318,153.9904,14.78833,294.364,357.414,1001.845,745.584,1151.144,2584.8,1130.497,444.593,429.43,535.308,380.183,583.774
hsa-miR-1226-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1226-5p,6.63615,8.77379,0.1,16.19806,15.34568,30.9739,30.642,38.8442,61.6062,33.7349,19.66268,14.65963,15.43193,13.82588,19.41816
hsa-miR-1227-3p,2.349398,3.005293,1.432442,3.019499,4.447082,4.08056,2.49513,4.361428,2.222311,2.4294,3.510606,1.43672,1.16989,2.302531,0.943434
hsa-miR-1227-5p,12.94422,16.74264,0.1,17.51834,29.5597,31.2667,51.4907,48.1775,38.1101,37.1815,20.01875,27.0357,16.08004,15.886,45.192
hsa-miR-1228-3p,18.11566,16.66304,10.38211,23.0102,27.779,28.2263,35.8503,33.7039,48.2771,34.9413,21.2135,22.4841,22.123,20.18019,28.2756
hsa-miR-1228-5p,0.1,16.98867,0.1,6.47357,10.10352,8.25546,7.27727,5.92471,10.88752,1.73679,10.53643,8.15686,6.03437,1.08815,1.76572
hsa-miR-1229-3p,6.86469,7.36859,2.83494,8.22201,6.89028,6.3847,7.72679,7.57996,13.29607,9.3985,5.1014,5.8287,6.84616,8.4622,6.24496
hsa-miR-1229-5p,72.4522,87.7806,6.00793,123.1824,130.2646,376.785,294.535,718.026,1692.255,857.185,197.6709,166.6937,249.667,197.6316,249.903
hsa-miR-1231,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1233-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1233-5p,0.1,3.99915,0.1,8.24907,8.86938,6.14968,12.70873,9.83852,10.0828,5.00123,4.21792,0.1,0.1,2.23518,6.08147
hsa-miR-1234-3p,15.37993,14.02768,10.3074,18.90794,19.05395,24.6603,27.4237,24.3197,36.0113,25.0634,20.03654,17.51409,18.03967,16.84152,20.10583
hsa-miR-1236-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.25686,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1236-5p,6.71315,17.37502,0.1,20.7425,28.6093,44.9741,27.7669,30.1732,61.7886,30.5953,42.0008,30.5506,39.9545,24.5181,46.5378
hsa-miR-1237-3p,8.57144,6.81331,6.47358,10.96325,11.74814,11.31216,11.36748,11.17631,14.3114,12.28065,12.77623,8.80085,11.39942,9.04594,9.11981
hsa-miR-1237-5p,0.1,0.1,0.1,0.1,0.1,0.1,2.52368,1.81106,4.02498,2.38524,0.1,0.1,0.1,0.1,0.1
hsa-miR-1238-3p,10.09246,12.81749,8.94303,14.1899,14.86648,15.78456,16.02414,14.94392,19.3559,16.41526,14.15876,12.39888,12.6745,11.99153,13.74414
hsa-miR-1238-5p,3.59342,30.4789,1.28477,11.07925,15.37411,12.90562,11.37052,11.23332,17.1018,9.2175,17.31186,12.3535,11.14611,5.99993,7.16574
hsa-miR-124-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-124-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1243,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1244,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1245a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1245b-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1245b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1246,11.4598,200.7225,5.9799,146.01772,223.4723,155.8278,154.5992,239.5831,595.8602,268.9147,118.51547,258.1032,133.78237,184.9493,294.0279
hsa-miR-1247-3p,2.21931,0.1,0.1,2.58643,5.5344,6.33441,6.68901,3.27983,14.34724,5.28608,2.67522,0.1,0.1,0.1,2.41752
hsa-miR-1247-5p,0.1,0.1,0.1,0.1,0.1,1.59822,0.1,0.1,5.77195,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1248,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1249-3p,9.45146,9.2829,1.28137,12.58957,20.73872,38.9528,40.3544,50.2632,90.5605,49.621,17.98422,19.59129,20.9631,14.07493,29.7939
hsa-miR-1249-5p,6.14783,3.66247,0.1,10.53641,12.26337,37.16635,20.109,41.11386,88.10107,30.79035,21.49556,12.22506,14.18943,14.38698,19.95207
hsa-miR-1250-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1250-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1251-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1251-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1252-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1252-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1253,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1254,0.1,0.1,0.1,0.1,0.1,6.85942,5.81808,0.1,4.3702,0.1,1.81701,0.1,0.1,0.1,0.1
hsa-miR-1255a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1255b-2-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1255b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1256,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1257,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1258,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-125a-3p,33.8267,24.97429,0.1,74.6219,77.1584,83.1267,151.2449,67.5408,103.6402,56.1976,57.1503,55.3607,35.988,30.49881,90.0386
hsa-miR-125a-5p,0.1,8.57103,0.1,20.50936,2.33569,0.1,0.1,1.90173,1.81389,2.16508,4.74559,6.11934,2.5147,10.7534,0.1
hsa-miR-125b-1-3p,3.3117,1.09282,0.1,7.05072,7.10952,7.07259,12.88435,3.48829,6.09157,3.18026,4.81107,2.09004,1.14493,1.24779,5.38892
hsa-miR-125b-2-3p,1.27094,0.1,0.1,0.1,0.1,12.48559,10.45809,6.24749,14.20384,8.21893,6.07893,0.1,0.1,0.1,0.1
hsa-miR-125b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.86894,0.1,0.1,0.1,0.1,0.1,2.08315,0.1
hsa-miR-126-3p,1.94353,27.32163,4.27831,92.5616,32.41859,3.42745,11.08463,42.12854,35.40188,20.57248,25.53863,59.8625,20.8731,47.25591,14.75284
hsa-miR-126-5p,0.1,0.1,0.1,2.15347,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.05382,0.1
hsa-miR-1260a,50.0981,29.72723,3.0099,28.83701,63.44051,43.53864,25.62059,121.7988,57.87717,44.34146,26.51782,34.96274,31.38037,25.89815,27.32062
hsa-miR-1260b,42.29389,16.7548,3.86612,41.33593,68.8547,26.4377,25.90821,49.92683,29.34447,36.96639,15.88468,23.48372,23.76662,19.26119,25.86323
hsa-miR-1261,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1262,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1263,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1264,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1265,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1266-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1266-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1267,3.46805,4.9938,3.24015,4.89452,5.45522,5.8907,4.9052,4.29304,4.33957,4.69877,5.423,0.1,3.91416,4.23611,4.73474
hsa-miR-1268a,54.6155,107.6258,5.5637,113.3668,136.5805,270.808,330.748,361.213,437.956,305.278,162.8527,206.9018,171.1033,140.9665,192.977
hsa-miR-1268b,27.9689,82.3796,3.20298,68.9547,80.7452,146.6608,212.5192,375.729,181.1141,194.3813,80.4973,98.7368,99.6619,90.0256,108.8109
hsa-miR-1269a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1269b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-127-3p,0.1,0.1,0.1,1.76253,3.64587,1.78264,0.1,0.1,0.1,0.1,5.35021,0.1,0.1,0.1,0.1
hsa-miR-127-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1270,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1271-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1271-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1272,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1273a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1273c,0.929695,0.1,0.1,6.39628,5.55386,2.51543,8.69383,0.1,0.1,0.1,2.4543,0.1,0.1,0.1,4.35244
hsa-miR-1273d,0.1,2.33034,0.1,3.56953,12.21101,2.28441,4.17017,5.99028,2.1306,0.1,2.62653,5.71413,3.89607,0.1,8.43288
hsa-miR-1273e,1.21634,2.76043,0.1,6.58092,9.29701,5.52099,11.43299,10.40608,8.95854,4.76059,6.14844,8.71494,7.70654,6.73336,15.65704
hsa-miR-1273f,4.89689,8.6222,0.728755,11.41957,10.82363,13.8575,15.93296,33.64538,19.52296,16.00526,11.37133,18.86947,11.17423,24.28939,17.68314
hsa-miR-1273g-3p,84.99058,147.3494,41.66195,287.3886,168.1534,211.2605,246.1878,402.8191,574.9187,398.8583,212.8748,297.8256,256.728,335.506,397.0776
hsa-miR-1273g-5p,0.1,0.1,0.1,0.1,4.13585,1.58807,1.83125,2.06387,6.65539,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1273h-3p,0.1,0.1,0.1,0.1,1.75364,0.1,2.21844,2.07271,6.49899,0.1,0.1,0.1,0.1,0.1,2.15768
hsa-miR-1273h-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1275,39.05471,58.32856,2.07518,73.09896,101.9077,194.8211,152.0636,199.5196,801.279,259.1438,143.9492,94.1146,126.9775,90.0958,158.3966
hsa-miR-1276,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1277-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1278,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1279,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-128-1-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-128-2-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-128-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1281,33.05952,15.14823,19.97897,25.50362,30.1437,20.2076,20.76853,20.32116,22.22103,28.1757,24.77863,21.80762,29.2114,18.91081,22.58206
hsa-miR-1282,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1283,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1284,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1285-3p,0.1,0.1,0.1,0.1,0.1,0.1,1.77085,3.15013,1.93716,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1285-5p,0.1,0.1,0.1,0.1,2.03081,4.32708,6.25948,8.2562,18.56594,5.47935,0.1,0.1,0.1,0.1,3.93234
hsa-miR-1286,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1287-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1287-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1288-3p,0.1,0.1,0.1,0.1,0.1,0.1,4.55569,0.1,1.85062,0.1,0.1,0.1,0.1,0.1,1.89815
hsa-miR-1288-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1289,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-129-1-3p,1.52715,2.03086,1.53625,2.2045,2.69747,2.38702,2.31906,2.51491,2.34598,2.89422,2.33402,2.43099,2.07949,2.97174,2.10703
hsa-miR-129-2-3p,1.83979,2.14082,1.66277,2.15696,2.36626,2.31384,2.23784,2.4656,2.26907,2.39591,2.4261,3.00727,2.20746,2.71811,2.44055
hsa-miR-129-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1290,1.16895,20.2427,0.1,15.129,22.54595,25.50492,33.36914,66.47012,72.07798,65.62847,11.399,21.3561,10.5296,20.9141,27.8256
hsa-miR-1291,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
