miRNA,BRH.1425633_S15,BRH.1425634_S16,BRH.1386871,BRH.1386872,BRH.1386873,X12190,X12104,X12108,X12176,X12256,BRH.1429984_S9,BRH.1429985_S10,BRH.1429986_S11,BRH.1429987_S12,BRH.1429988_S13,BRH.1429989_S14,X1038.24h_S2,X1052.24h_S3,X1108.24h_S4,X1141.24h_S5z,X1231.24h_S6z,X1242.24h_S7z,X1249.24h_S8z,X964.24h_S1,X10018,X10050,X1013,X1016,X1022,X1025,X1027,X1028,X9911,X9931,X9961,X9993,X999,X1038.48h_S18,X1052.48h_S19,X1141.48h_S20z,X1231.48h_S21z,X1242.48h_S22z,X1249.48h_S23z,X964.48h_S17,X1038.96h_S25,X1052.96h_S26,X1231.96h_S27z,X1242.96h_S28z,X964.96h_S24,X1592652_1,X1592653_2,X1592654_3,X1592655_4,X1592656_5,X1592657_6,Aged_patient.1_S29,Aged_patient.2_S30,Aged_patient.3_S31,Aged_patient.4_S32,Aged_patient.5_S33,Aged_patient.6_S34
hsa-miR-10a-5p,512,59,238,2824,3178,979,33,3992,7110,6718,1128,2170,3860,4658,2812,6488,4560,6254,2675,3182,4934,1900,2123,2322,52297,32091,31885,2496,68952,9208,25570,16230,29654,7144,11534,3527,3858,3752,5992,6171,2213,2670,2774,4851,1995,1983,964,2627,2942,172,20,337,201,26,67,2040,2439,6590,4,2677,366
hsa-miR-10b-5p,326,16,195,2244,1716,570,0,2206,3138,3612,2760,4276,8844,8232,5264,13278,4350,2626,5357,9622,7797,3346,4239,6390,87860,60563,37312,3492,71340,17094,51372,26796,56670,12992,19064,8134,4606,4544,13481,17457,4562,6688,6004,11367,3495,3415,2056,5584,5736,42,66,543,431,13,12,2809,4047,11002,9,6282,518
hsa-miR-1178-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1185-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1193,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1207-5p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-5p,2163,91,16,197,59,6605,20,31286,36994,18461,10832,16433,38925,72388,24267,49163,68410,11752369,13411,12881,37684,4671,73391,30095,106053,277154,16047,27102,50209,89561,37150,16361,125186,40257,477476,3029342,65492,22995,2907133,15992,17641,25088,90985,313069,25000,1037485,31259,83578,197052,1270,310,6950,5709,284,92,13005,74370,263886,147,81004,28514
hsa-miR-1224-5p,28,6,4,1,15,107,0,133,1197,113,0,14,7,16,7,3,16,71,9,9,20,15,11,6,19,14,19,5,17,8,31,8,8,4,14,1,28,8,4,44,47,3,26,18,19,64,7,12,2,0,0,14,15,0,0,4,127,47,0,259,26
hsa-miR-1225-5p,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1226-5p,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,4,2,0,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1227-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1228-5p,1,0,0,5,0,10,0,25,50,65,13,128,175,501,69,211,14,104,16,194,13,18,25,25,677,102,89,21,454,105,100,45,335,32,105,9,2,27,71,84,26,7,105,17,43,33,17,37,13,1,1,82,65,6,0,25,188,591,0,169,189
hsa-miR-1229-5p,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1233-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-1236-5p,0,0,0,0,0,8,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-1238-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-5p,0,3,0,0,0,0,0,3,10,16,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,3,0,0,4,0,0,0,0,0,13,0,0,0,4,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1245b-5p,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,39,64,2,30,35,270,318,932,20755,696,152,776,1049,655,670,712,2170,7871,586,618,1825,1922,892,1017,3725,2007,4710,349,8833,604,1589,903,3286,1006,2138,2427,170,4642,11083,2846,1024,1128,3058,2797,1431,3451,301,583,1032,3,13,123,358,9,6,61,472,814,0,753,180
hsa-miR-1248,9,10,1,7,14,12,0,2,23,2,4,4,17,9,0,0,0,3,1,2,3,1,0,0,0,1,0,0,3,3,0,0,2,0,0,0,0,0,2,6,0,1,40,1,6,5,0,2,0,0,0,0,0,0,0,0,4,0,0,13,1
hsa-miR-1249-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hsa-miR-1250-5p,0,0,0,0,0,6,0,4,0,1,0,6,2,15,1,6,12,15,6,2,16,57,33,8,10,5,1,0,0,9,9,7,13,3,18,0,15,11,13,16,19,37,57,44,6,38,23,45,13,0,0,0,0,0,0,2,26,10,0,18,18
hsa-miR-1251-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,4,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,2,0,0,2,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1254,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,0,3,13,4,3,4,4,4,0,0,1,12,0,20,10,16,3,6,0,3,1,2,7,4,4,5,2,10,2,17,19,6,15,2,0,0,0,0,0,0,1,9,16,0,0,1
hsa-miR-1255a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,8,0,4,0,1,3,3,4,0,8,8,18,3,4,10,12,2,14,1,8,4,12,34,0,0,20,3,3,6,0,0,5,0,0,0,0,0,0,6,1,2,0,2,0
hsa-miR-1255b-5p,0,0,0,0,8,39,0,7,59,24,5,5,13,27,0,58,102,238,62,13,147,87,48,60,96,120,87,3,374,164,362,101,192,75,190,21,196,69,21,47,460,77,94,42,121,409,76,377,4,0,0,0,0,0,0,24,404,81,0,225,16
hsa-miR-1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125a-5p,91,25,37,589,307,279,12,912,2000,988,365,512,1185,2206,855,2171,286,79,433,428,392,149,283,234,14989,11882,4246,126,15055,2122,4044,2972,9081,1362,1651,797,515,634,259,1294,479,288,681,541,349,341,164,274,520,418,30,88,116,57,17,742,575,1997,2,1364,215
hsa-miR-125b-5p,530,266,62,575,622,4718,18,8752,9830,13338,101,271,628,928,410,992,468,1086,833,1469,815,316,463,229,11131,8676,4912,225,18719,2142,9038,2934,8394,1531,1917,7757,592,508,5157,2524,437,545,1027,1173,210,618,77,300,985,1234,109,249,258,165,237,166,303,1750,1,871,225
hsa-miR-126-5p,1,0,1,0,0,0,0,8,0,42,49,53,200,163,120,615,382,355,217,141,792,937,510,212,3221,6011,2492,147,5204,2645,4180,2453,4788,1811,1683,283,2809,224,207,232,735,860,695,403,244,326,176,384,124,14,0,16,6,0,9,349,677,1133,0,285,65
hsa-miR-1260a,0,0,0,0,0,0,0,0,9,6,1,2,3,1,0,5,18,66,8,4,29,207,54,16,30,66,28,2,66,27,73,22,40,12,64,13,12,31,28,18,56,83,68,34,27,68,16,94,65,0,0,1,0,0,0,5,66,26,0,6,18
hsa-miR-1260b,0,0,0,0,0,0,0,0,15,16,0,2,4,0,0,3,50,237,14,8,69,318,85,45,33,116,23,0,105,48,118,26,62,16,86,25,35,38,49,18,122,196,166,54,41,116,46,190,75,0,6,0,0,0,0,10,150,75,0,48,52
hsa-miR-1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,4,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-1262,0,0,0,0,0,0,0,35,0,2,1,0,4,7,0,0,4,2,0,0,0,19,15,1,5,15,1,0,2,5,3,7,11,1,36,1,3,5,7,0,2,5,5,0,4,11,0,30,4,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1266-5p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1268a,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,1,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,5,6,2,10,0,2,2,0,0,0,2,0,0,0,1,2,0,3,0
hsa-miR-1268b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,2,2,0,0,2,0,2,1,0,0,2,0,3,3,2,0,2,0,1,6,2,12,0,2,6,0,0,0,2,0,0,0,1,2,0,4,0
hsa-miR-1269b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-5p,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,14,27,4,4,12,45,2,6,33,23,18,0,20,3,19,3,22,6,6,4,11,5,9,15,7,19,21,10,1,3,6,9,3,37,0,3,10,11,0,0,19,17,0,15,7
hsa-miR-1270,0,0,0,0,0,13,0,17,28,94,0,0,0,4,0,0,7,10,1,2,13,9,0,5,6,15,20,7,76,24,35,29,9,28,34,6,36,0,2,0,17,9,5,3,6,26,5,20,2,0,0,0,0,0,0,1,26,0,0,43,3
hsa-miR-1271-5p,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,15,42,3,0,9,24,9,9,0,31,12,3,42,16,37,9,22,19,49,72,24,7,16,3,16,24,30,14,5,6,2,5,3,7,0,0,0,0,11,6,7,13,0,0,4
hsa-miR-1272,0,0,0,0,0,11,0,15,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,4,6,0,0,21,7,2,0,6,10,19,5,2,0,12,4,4,3,6,4,6,2,6,0,9,14,3,12,3,0,0,0,0,0,0,0,3,9,0,10,7
hsa-miR-1273d,0,0,0,0,0,0,0,0,0,0,1,4,25,2,0,1,5,44,8,5,15,6,6,11,7,4,2,1,10,2,1,4,11,5,7,10,9,11,4,5,5,6,22,21,12,32,2,14,34,0,0,1,0,0,0,1,2,0,0,1,1
hsa-miR-1273e,0,0,0,5,0,57,13,56,16,28,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-1273f,0,0,0,0,6,0,0,1,0,0,5,18,52,11,5,2,9,59,6,21,36,13,10,10,15,14,10,7,15,8,10,10,24,4,25,27,3,17,30,27,22,14,74,21,37,16,6,14,36,0,0,2,4,0,0,0,10,14,0,6,0
hsa-miR-1273g-5p,0,0,0,0,0,46,34,69,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273h-5p,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,19,8,7,2,9,112,58,14,12,20,17,10,19,14,19,13,10,9,29,3,16,24,21,18,35,46,44,10,7,77,37,91,16,0,0,0,0,0,0,11,21,63,0,36,21
hsa-miR-1275,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,4,7,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
hsa-miR-1277-5p,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,4,6,2,18,23,13,2,58,167,29,0,56,46,96,48,98,38,58,6,82,0,5,10,3,19,16,1,0,0,3,7,3,0,0,2,0,0,0,8,0,26,0,7,0
hsa-miR-1279,0,0,0,0,0,2,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,2,10,8,2,0,0,1,0,0,1,0,0,3,0,3,0,1,2,2,0,1,2,0,1,0,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-128-2-5p,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1283,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,2,0,2,5,1,0,0,6,0,0,0,6,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
