"tsi","group"
0.565796311095497,"All miRNAs"
0.3751178979772,"All miRNAs"
0.646228118052463,"All miRNAs"
0.465299991138033,"All miRNAs"
0.520327229466815,"All miRNAs"
0.543642643875035,"All miRNAs"
0.583104683314386,"All miRNAs"
0.43980004615201,"All miRNAs"
0.449686342014235,"All miRNAs"
0.430713472326883,"All miRNAs"
0.383156691568331,"All miRNAs"
0.524978912959838,"All miRNAs"
0.451996125296737,"All miRNAs"
0.398514372156818,"All miRNAs"
0.368873674671841,"All miRNAs"
0.257432642781171,"All miRNAs"
0.659445227357261,"All miRNAs"
0.424180360970552,"All miRNAs"
0.961167405373449,"All miRNAs"
0.968160566753973,"All miRNAs"
0.591966601769926,"All miRNAs"
0.617541438303562,"All miRNAs"
0.633103973049456,"All miRNAs"
0.493616060732495,"All miRNAs"
0.565469117339563,"All miRNAs"
0.886581570954514,"All miRNAs"
0.872221412265888,"All miRNAs"
0.908324950511259,"All miRNAs"
0.989257288973448,"All miRNAs"
0.976096000249519,"All miRNAs"
0.416305037192454,"All miRNAs"
0.691744111252367,"All miRNAs"
0.808354946880388,"All miRNAs"
0.818486099810912,"All miRNAs"
0.835726584855309,"All miRNAs"
0.812641225012782,"All miRNAs"
0.950837898077054,"All miRNAs"
0.832147481573057,"All miRNAs"
0.798175349333282,"All miRNAs"
0.908760831570267,"All miRNAs"
0.595227720945384,"All miRNAs"
0.558565568174816,"All miRNAs"
0.536555822319176,"All miRNAs"
0.436311696538928,"All miRNAs"
0.51496663340768,"All miRNAs"
0.898710268498529,"All miRNAs"
0.919081192882087,"All miRNAs"
0.650134502598143,"All miRNAs"
0.772994312837402,"All miRNAs"
0.937370370906387,"All miRNAs"
0.959110384898676,"All miRNAs"
0.916726450672431,"All miRNAs"
0.893325714262946,"All miRNAs"
0.682240249167136,"All miRNAs"
0.688868816086147,"All miRNAs"
0.541120016017278,"All miRNAs"
0.803579007256011,"All miRNAs"
0.80719672774845,"All miRNAs"
0.642822023233428,"All miRNAs"
0.73825006811833,"All miRNAs"
0.607647585999138,"All miRNAs"
0.729539806174181,"All miRNAs"
0.765487966255259,"All miRNAs"
0.807088999276369,"All miRNAs"
0.862779045509584,"All miRNAs"
0.874258136077128,"All miRNAs"
0.839107736230423,"All miRNAs"
0.725158372585464,"All miRNAs"
0.943112269723691,"All miRNAs"
0.866168028219898,"All miRNAs"
0.668704553797619,"All miRNAs"
0.601476867086264,"All miRNAs"
0.82843461664719,"All miRNAs"
0.96747688285683,"All miRNAs"
0.699968211525942,"All miRNAs"
0.79813290795721,"All miRNAs"
0.893030060753345,"All miRNAs"
0.873135471762309,"All miRNAs"
0.945271215449729,"All miRNAs"
0.914248624267834,"All miRNAs"
0.876828938747519,"All miRNAs"
0.894436037288186,"All miRNAs"
0.964380257405836,"All miRNAs"
0.665315242202246,"All miRNAs"
0.826769915572443,"All miRNAs"
0.721601565996223,"All miRNAs"
0.876819012495336,"All miRNAs"
